
url,summary,score
https://books.toscrape.com/catalogue/soumission_998/index.html,"In a near-future France, a university professor navigates his personal life as a Muslim political party rises to power, examining politics, identity and alienation.",0.0
https://books.toscrape.com/catalogue/private-paris-private-10_691/index.html,"Jack Morgan travels to Paris to help a client find his missing granddaughter and uncovers a series of gruesome murders tied to the elite, racing to stop the killer.",-0.6
https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_714/index.html,"A family joins a research project raising a chimpanzee as a human child, confronting issues of race, language and belonging while secrets and past traumas surface.",-0.125
https://books.toscrape.com/catalogue/thirst_742/index.html,"After the world’s water disappears, neighbors in a Los Angeles suburb band together and then turn against each other as survival instincts kick in.",-0.125
https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_746/index.html,"When a woman’s identity is stolen and a brilliant geneticist is murdered, a rogue team called Forensic Instincts races to expose a conspiracy and stop a killer.",0.9
https://books.toscrape.com/catalogue/tuesday-nights-in-1980_648/index.html,An art critic with synesthesia and a self-taught painter experience the bohemian art scene of late-1970s and early-1980s New York as their lives and careers intertwine.,0.13636363636363635
https://books.toscrape.com/catalogue/the-vacationers_604/index.html,"A Manhattan family and their friends vacation in Mallorca, where long-held secrets and tensions emerge against the sun-drenched island backdrop.",0.0
https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_584/index.html,"A secret organization staffed by young women trained as assassins comes under attack, forcing them to question their missions and destiny amid prophecies and betrayal.",-0.15000000000000002
https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_579/index.html,"An obsessed reader murders his favorite author to steal notebooks of an unpublished novel; decades later the notebooks surface, luring in a teen and awakening the killer.",0.0
https://books.toscrape.com/catalogue/the-time-keeper_505/index.html,A fable in which Father Time is banished to a cave for centuries and later sent to Earth to teach a business tycoon and a teenage girl the true meaning of time.,0.11666666666666665
